"","ANOVA.F","Type Healthy control - NLA","Type Healthy control - Other","Type Healthy control - PLS","Type NLA - Other","Type NLA - PLS","Type Other - PLS","FDR"
"234.1614@19.724066",0.000101630270188169,0.0115,3e-04,0,0.1287,0.0201,0.4807,0.000642380009679935
"236.1774@20.896149",0.141979664775558,0.3235,0.0285,0.5783,0.1867,0.6179,0.0668,0.193542981484484
"237.0999@8.70198",0.00135265691596831,0.1243,0.0074,0.0122,9e-04,0.0019,0.45,0.00449766815731398
"240.0237@0.642718",0.27888198014154,0.0986,0.4256,0.2371,0.1492,0.3725,0.5256,0.337456196677246
"240.0746@19.150219",0.745352642876839,0.667,0.6121,0.2823,0.925,0.5299,0.6154,0.770657825196732
"240.1361@16.939358",0.895665692921085,0.739,0.8257,0.4676,0.917,0.6966,0.6299,0.904440111917298
"240.1513@8.516963",0.0019596007168684,0.6106,0.0066,0.0107,0.002,0.0029,0.6285,0.00587441825638403
"242.224@22.680584",0.0319005489608104,0.0918,0.0135,0.0085,0.2597,0.1745,0.9114,0.0554432368449883
"243.0866@0.6696598",0.000167151089311313,0.003,6e-04,6e-04,0.0013,7e-04,0.8589,0.000957189998620337
"243.1832@15.854028",0.500868425278052,0.7449,0.2501,0.8011,0.1478,0.5516,0.3272,0.547888726426604
"244.0689@0.75382376",0.0908452388960496,0.5037,0.1069,0.144,0.0404,0.0716,0.6732,0.133186674092677
"244.0695@1.3736739",0.0228990415984505,0.0123,0.0712,0.0064,0.2677,0.7286,0.1382,0.0414658320836806
"244.1691@17.950808",0.0230712054894191,0.9559,0.1473,0.1735,0.0098,0.0083,0.8055,0.0416649802639105
"244.203@21.512646",0.269654759060887,0.9053,0.1482,0.1526,0.1768,0.1818,0.8788,0.329086864427676
"245.1445@16.886238",0.011918257431719,0.0059,0.012,0.0049,0.6005,0.9093,0.5022,0.0238365148634381
"246.0503@0.66734797",0.00621138910562224,0.9413,0.0059,0.0931,0.0018,0.041,0.1014,0.0140833526252687
