"","ANOVA.F","Type Healthy control - NLA","Type Healthy control - Other","Type Healthy control - PLS","Type NLA - Other","Type NLA - PLS","Type Other - PLS","FDR"
"272.1603@10.563048",0.418000751823939,0.4904,0.153,0.1606,0.4306,0.4883,0.8639,0.542891220356701
"463.3671@23.421463",0.0566010388186869,0.239,0.3748,0.4739,0.018,0.0183,0.7811,0.159230469582382
"688.057@1.8231831",0.708988630036249,0.6968,0.823,0.4749,0.488,0.7089,0.2812,0.783038553617812
"882.7651@27.174206",0.0384876808189352,0.0663,0.408,0.8146,0.0081,0.0209,0.4885,0.122096025746877
"735.5722@24.463402",0.916887197339727,0.7365,0.9684,0.7383,0.7343,0.4873,0.798,0.940219264947409
"814.6942@28.671917",0.284876588472077,0.0986,0.145,0.0859,0.8271,0.9799,0.8023,0.448522696316649
"394.2143@22.872726",6.6199134917122e-05,3e-04,0,2e-04,0.2438,0.9127,0.2591,0.00113451620875206
"580.2924@18.881367",0.219037419983811,0.2275,0.0502,0.1093,0.3931,0.7305,0.5643,0.391588481050194
"803.5486@24.17338",0.873114883124372,0.515,0.9455,0.9203,0.471,0.5509,0.8626,0.909034098131031
"321.2301@19.250454",0.374222917058529,0.3401,0.4921,0.6521,0.1153,0.1493,0.7669,0.510475526808568
"709.5862@24.337776",0.000145803059045879,0.7951,3e-04,7e-04,6e-04,0.0013,0.4984,0.00197629419124914
"203.1156@8.194563",0.0809086989204113,0.2251,0.0213,0.0402,0.1508,0.2775,0.6101,0.20727640908992
"352.2595@22.638618",0.844114060283444,0.5138,0.9487,0.6598,0.4404,0.7348,0.6164,0.8869443720103
"260.0362@20.845592",0.637907448681013,0.7828,0.5993,0.3794,0.4313,0.245,0.7712,0.726045806094192
"593.3461@22.48844",0.123029531259894,0.1438,0.0686,0.0246,0.6075,0.2666,0.5855,0.270914805889998
"659.6331@22.732346",0.483309485458909,0.2261,0.6759,0.8623,0.4488,0.1483,0.5447,0.595057343368483
"320.2031@22.944254",0.0539067006194005,0.0335,0.0104,0.045,0.544,0.7786,0.3662,0.154884259624885
"551.2994@22.435514",6.22973224129186e-06,0.0956,3e-04,0,0.0061,0,0.0898,0.000290266586617693
"331.3228@19.729551",0.670393583033609,0.2959,0.9142,0.9517,0.368,0.2943,0.9555,0.749990138577369
"525.4033@19.485582",0.247922763667594,0.275,0.0584,0.1381,0.3522,0.6957,0.5373,0.412099041949144
"525.2847@22.234812",0.00454579453170945,0.2059,0.017,0.0104,0.0318,0.005,0.6504,0.0251028875806622
"648.4438@22.431406",0.0452592648527186,0.0491,0.0197,0.0096,0.6725,0.5892,0.9381,0.137999108170559
"503.302@22.23288",0.00447566278078293,0.5895,0.0317,0.0093,0.0097,0.0023,0.7723,0.0249000492766692
"868.749@26.504948",0.0421412130099711,0.125,0.336,0.4886,0.0117,0.0147,0.708,0.130901142912223
"215.1881@14.700754",0.752697516424002,0.9262,0.8637,0.6943,0.6384,0.5605,0.2966,0.816791846425172
"328.1317@7.409984",0.163176476400807,0.2295,0.0327,0.0972,0.2913,0.6806,0.4663,0.326165050297971
"350.2229@22.715044",0.000872604642000452,0.3209,4e-04,0.0015,0.005,0.0199,0.3923,0.0073092894450712
"750.5655@24.503778",0.558008783713539,0.6095,0.4841,0.2019,0.81,0.3304,0.4967,0.657984323527574
"266.1308@8.508341",0.35149630029368,0.2699,0.0948,0.1654,0.5203,0.8183,0.645,0.493089368952711
"809.5936@26.148",0.00819750208070225,0.004,0.0017,0.0032,0.6032,0.9908,0.5899,0.039942730726559
"858.5312@22.293535",0.255210058880657,0.1596,0.0568,0.2055,0.5511,0.8143,0.3953,0.420462097006696
"458.3398@19.485714",0.224912174648538,0.211,0.0535,0.1069,0.4349,0.7583,0.5938,0.396387768795474
"354.2527@22.991442",0.302079673856123,0.0995,0.1035,0.1278,0.962,0.877,0.914,0.461476223073237
