"","ANOVA.F","Type Healthy control - NLA","Type Healthy control - Other","Type Healthy control - PLS","Type NLA - Other","Type NLA - PLS","Type Other - PLS","FDR"
"650.1081@0.7163752",0.234576767461609,0.1716,0.0971,0.0568,0.6578,0.4238,0.783,0.40240897605707
"264.1154@7.410514",0.346972436025421,0.7733,0.1682,0.6898,0.0901,0.464,0.2604,0.488975332810872
"635.4899@24.77246",0.00880857605999563,0.0054,0.1292,0.0127,0.0158,0.3798,0.0607,0.0422239607814814
"821.7125@28.637636",0.590138031358741,0.9105,0.9973,0.2991,0.9306,0.2312,0.4032,0.684211356730857
"605.6111@27.775644",0.580634125841186,0.451,0.6921,0.716,0.1866,0.6088,0.3662,0.678108027904336
"529.3181@25.998701",0.0703116747825008,0.0349,0.0788,0.1338,0.2775,0.0521,0.4475,0.188551631476095
"727.5968@24.33691",4.2782188436119e-05,0.778,2e-04,6e-04,1e-04,2e-04,0.4126,0.000855343851923509
"189.0984@5.7157245",0.033706379490086,0.1481,0.0076,0.0194,0.0981,0.2421,0.4994,0.11111943444793
"485.2594@18.449707",0.233295297693184,0.2768,0.0429,0.2991,0.2971,0.9064,0.2273,0.402029962458529
"296.1413@8.50814",0.316728884130483,0.2565,0.0826,0.1487,0.4948,0.7982,0.6324,0.470361320954731
"497.0416@1.0145602",0.580780651665887,0.8806,0.4895,0.8771,0.4063,0.6107,0.1795,0.678108027904336
"292.1716@22.60648",9.91123416782536e-06,0.0059,0,0,0.0072,0.018,0.4998,0.000349202046744234
"436.3668@21.729015",0.261258160404585,0.5836,0.1921,0.8653,0.0632,0.6623,0.1106,0.424913968237831
"1438.4882@8.506764",0.408703208888227,0.8314,0.1926,0.8669,0.1213,0.682,0.2062,0.539748879054338
"835.6099@25.4959",0.626259812004022,0.6259,0.1985,0.5314,0.4049,0.9016,0.4584,0.714424927083394
"275.1197@9.425094",0.0983107127666638,0.4101,0.4213,0.1633,0.0954,0.0194,0.5707,0.235216828433995
"388.2983@22.431194",9.48878744511106e-06,0.0512,4e-04,0,0.0136,1e-04,0.0977,0.000349202046744234
"169.0248@0.690139",0.0305312670093391,0.0184,0.0405,0.0061,0.679,0.5942,0.3485,0.103035975655253
"397.3199@20.624496",0.799881834014438,0.918,0.5748,0.9012,0.4084,0.9699,0.3977,0.854315053377884
"856.2984@16.475016",0.66755515172389,0.6205,0.3005,0.9317,0.5974,0.6435,0.2875,0.74836445956415
"716.5837@24.672886",5.82029953957175e-05,0.0654,1e-04,2e-04,0.001,0.0011,0.6438,0.00109848944474702
"299.1948@5.9465923",0.152129489784155,0.7069,0.3383,0.3597,0.0532,0.0552,0.8573,0.31307059509688
"563.234@22.042938",0.368338924509114,0.8213,0.2981,0.221,0.276,0.1595,0.841,0.508138311366727
"225.1728@15.843207",0.926641752817007,0.6599,0.8975,0.7274,0.5702,0.9135,0.6302,0.948916794952031
"639.5812@26.41898",0.0253286183150615,0.0874,0.9242,0.9018,0.0206,0.0052,0.7407,0.0901311930972714
"160.1566@0.56289464",0.188891663007411,0.3146,0.0949,0.0599,0.359,0.2111,0.7229,0.358773846552929
"218.167@20.887873",0.0542250727861772,0.6194,0.0099,0.2188,0.0296,0.4734,0.0943,0.154884259624885
"600.3475@19.829958",0.198960901939295,0.1011,0.0517,0.1163,0.6874,0.8594,0.5533,0.369848573684579
"784.6409@25.976265",0.953719141470372,0.8644,0.8251,0.7402,0.7005,0.872,0.5903,0.969662441043517
"757.564@24.728258",0.130114456425027,0.026,0.3415,0.0983,0.1526,0.3866,0.4769,0.279943224429604
"481.3535@22.700235",0.0941642608205292,0.6604,0.0471,0.146,0.044,0.1686,0.3642,0.228662724565813
"302.1519@8.920398",0.279866950262918,0.2668,0.0653,0.1499,0.4107,0.7813,0.5442,0.444389374698627
"345.19@6.1681166",0.00104975804499019,0.0279,9e-04,0.0022,0.0055,0.0222,0.3452,0.00832547470787433
"683.4873@24.820993",2.74907733927021e-05,7e-04,0.0674,4e-04,2e-04,0.3645,1e-04,0.000675424252295775
"563.2888@21.246166",0.738058755920848,0.9785,0.3575,0.8472,0.3489,0.8625,0.4055,0.806187256467388
"320.194@0.7056668",1.38490285317427e-06,0.0017,0,0,0,0,0.5768,0.000103244507704142
"461.336@20.140768",0.304819639738014,0.6613,0.0704,0.4473,0.1488,0.7448,0.2446,0.463706474399664
"413.2276@6.1749873",0.449920281661522,0.145,0.2283,0.3033,0.6097,0.3312,0.6824,0.569466162951893
"240.1472@1.5551388",0.889961642476595,0.8143,0.6758,0.7677,0.4886,0.551,0.869,0.921475320181647
"337.3351@23.27816",0.0208023788468948,0.3301,0.0234,0.02,0.0551,0.0322,0.9691,0.078707199011245
"872.7429@26.58493",0.988694741965807,0.7638,0.8659,0.7636,0.9013,0.9919,0.9059,0.990022740276036
"299.2826@22.477974",1.03903397696836e-06,0.0063,0,0,0.001,1e-04,0.5867,8.15368241926225e-05
"257.0598@3.2221568",0.644170728090964,0.817,0.3929,0.7168,0.2307,0.4837,0.5359,0.731412375711132
"946.5841@22.307896",0.95433909555784,0.6557,0.6437,0.8378,0.978,0.7558,0.7437,0.969662441043517
"563.5286@22.635443",0.46773036053018,0.1219,0.4935,0.3588,0.4,0.4469,0.8703,0.584650588657221
"263.2614@27.318018",0.000394007680434516,0.1671,2e-04,0.0018,0.0016,0.0158,0.2027,0.00402373596936893
"767.5812@25.785656",0.179870797615308,0.5954,0.367,0.1415,0.1637,0.0472,0.6257,0.349641062882135
"721.498@22.268202",0.000470149159798927,0.0191,1e-04,3e-04,0.0451,0.1399,0.4494,0.00461179208723816
"850.3919@18.43882",0.720833177672678,0.8147,0.5535,0.8163,0.3374,0.9862,0.3127,0.792597542706463
"877.7018@28.05095",0.967490954871596,0.7334,0.7765,0.9898,0.9579,0.6878,0.7439,0.977038235755816
"511.3866@19.828552",0.230519110002193,0.1852,0.0557,0.1112,0.4916,0.8386,0.5939,0.401523356323913
"749.5811@24.329014",0.00167080734340874,0.5942,0.0013,0.0034,0.0046,0.0134,0.4641,0.0116956514038612
"415.3671@23.142828",0.386768232342254,0.5457,0.377,0.9748,0.6041,0.2697,0.1194,0.520489829315783
"765.5682@25.546476",0.0262811307978933,0.3262,0.2414,0.0539,0.0449,0.005,0.5737,0.0926363262876097
"403.1926@16.476519",0.314160740586957,0.3968,0.067,0.4596,0.2874,0.8716,0.2043,0.468630098308808
"368.3409@19.739548",9.19438457702704e-07,0.0239,0,0,8e-04,1e-04,0.5825,8.0640161202043e-05
"312.2665@22.639147",0.216562950747874,0.2961,0.1294,0.0485,0.5701,0.2885,0.6727,0.388095384092644
"805.4633@12.882604",0.00960096706772395,0.5916,0.0843,0.0166,0.0721,0.0036,0.2353,0.0453007654999254
"201.0828@2.9174511",0.0010371141461577,0.0731,0.2525,0.876,2e-04,0.0023,0.1201,0.00831364081678029
"581.2803@22.1987",0.289102796732297,0.4825,0.2871,0.0739,0.6705,0.2109,0.4472,0.452310881351369
"280.1313@18.439669",0.302529418950502,0.4578,0.0646,0.4802,0.238,0.9344,0.1874,0.461519663877599
"619.6276@28.720947",0.202797885229169,0.7941,0.5732,0.5212,0.1135,0.0483,0.8921,0.373759761281447
"632.4694@26.418598",0.00406834362869168,0.3233,0.0148,0.0428,0.0017,0.0045,0.5018,0.0231522914136615
"891.6717@27.933651",0.00671797182904477,0.3161,0.0187,0.005,0.059,0.0081,0.5079,0.0339724674035502
"306.1579@3.183468",0.554307534452915,0.5139,0.2157,0.2583,0.4187,0.5065,0.8185,0.655930582435949
"706.6952@28.123892",0.00635049374462648,0.4051,0.0314,0.1323,0.0019,0.008,0.3502,0.0325254346386183
"870.7284@25.63991",0.242066571730369,0.0677,0.533,0.1763,0.1631,0.4893,0.4174,0.409207776020386
"515.1372@4.6212025",0.0314305627848699,0.0098,0.0067,0.0082,0.6181,0.8036,0.7675,0.105073921776325
"479.3025@22.32975",2.2959044361115e-05,0.1613,1e-04,1e-04,0.0011,3e-04,0.8295,0.000600560265656533
"323.2098@20.683432",0.0562793987502108,0.4776,0.064,0.0249,0.1623,0.049,0.6406,0.158657252354893
"317.2915@16.816004",0.253066617763337,0.0888,0.1272,0.0873,0.8468,0.9104,0.9251,0.417854182818533
"740.516@24.383026",0.0510064211767316,0.3325,0.0632,0.0094,0.3293,0.0895,0.5286,0.148536277293959
"310.1209@7.409483",0.413086094960832,0.7281,0.1178,0.3829,0.2134,0.6148,0.3807,0.541450132418073
"363.1159@8.511339",0.432882550702046,0.2176,0.1414,0.2078,0.7641,0.9617,0.717,0.554968085207869
"254.2611@22.973776",3.5593212056817e-05,0.6964,2e-04,3e-04,4e-04,2e-04,0.8745,0.000747457453193157
"260.2461@14.700603",0.666366182765163,0.7053,0.6611,0.9183,0.9091,0.3294,0.2946,0.747593663282813
"431.2308@18.439579",0.285524064343793,0.4212,0.0593,0.4684,0.2452,0.8967,0.1793,0.449067911325523
"591.3221@22.125183",0.70440290254311,0.7779,0.296,0.876,0.4184,0.882,0.3214,0.778550576495016
"547.5337@24.338627",0.000340975131041366,0.7319,4e-04,0.0029,5e-04,0.0035,0.2748,0.00360563064101189
"644.643@15.958262",0.164309587781703,0.0805,0.3831,0.1005,0.1214,0.763,0.1602,0.326908881049054
"194.0942@17.387688",0.0829810312036809,0.3817,0.019,0.7392,0.111,0.5488,0.0285,0.209348083798119
"381.2184@23.208572",0.00513624089358766,0.395,0.0562,0.0022,0.1985,0.0049,0.1229,0.0274485131625061
"379.1643@6.3450227",0.519026137472735,0.7359,0.295,0.8773,0.1543,0.5873,0.3134,0.627129568593979
"294.1099@18.435984",0.262320344389111,0.3609,0.0633,0.6582,0.304,0.5944,0.117,0.425382766363645
"609.3095@22.492601",0.206889857073367,0.1726,0.2696,0.0527,0.7122,0.3698,0.2179,0.377567658379914
"834.6604@27.120583",0.678381102266802,0.8253,0.6479,0.5228,0.7912,0.3591,0.2743,0.75455712774911
"459.2625@19.706312",0.176003218781078,0.3945,0.0304,0.3335,0.1562,0.9469,0.1516,0.345290525266562
"250.0709@2.9472976",0.0499549315393399,0.0389,0.026,0.0122,0.7049,0.2536,0.484,0.147199215267106
"436.187@18.754534",0.377264168475048,0.9719,0.1463,0.9497,0.1542,0.9226,0.1381,0.512762876204464
"317.2929@17.29507",0.574070947830263,0.3498,0.2465,0.2154,0.7884,0.7966,0.9705,0.672672338587547
"647.6226@27.310375",0.00378881701619316,0.8966,0.013,0.0049,0.0137,0.0043,0.8307,0.0220668991060312
"1137.6678@12.110421",0.154046967603309,0.1153,0.033,0.0639,0.2886,0.6144,0.508,0.314273592559509
"990.6678@22.4038",0.370453618011826,0.6458,0.2948,0.6467,0.0953,0.2712,0.4476,0.508138311366727
"765.5242@22.274515",0.000266858863353425,0.0141,1e-04,2e-04,0.0413,0.1163,0.4811,0.00301429216106028
"272.16@12.304996",0.0743105111199353,0.0342,0.0505,0.5289,0.8881,0.0739,0.1148,0.196100835539511
"580.2924@17.82314",0.26393072899765,0.2278,0.0666,0.1206,0.4722,0.77,0.6298,0.425888221791663
"348.2299@19.828339",0.252838537342078,0.2351,0.0684,0.102,0.4688,0.6873,0.7019,0.417854182818533
"502.3267@19.035564",0.0367788620458225,0.7037,0.0151,0.0723,0.0206,0.1037,0.316,0.117929641527573
"668.0859@1.0087898",0.0964585044011069,0.0552,0.0462,0.0236,0.8427,0.3393,0.464,0.231593607185266
"811.6105@25.774519",0.653965990047475,0.2249,0.5211,0.5629,0.535,0.4163,0.902,0.737009290370963
"794.3277@16.846031",0.397553790786697,0.869,0.1287,0.7019,0.172,0.8361,0.2071,0.531140414034915
"311.2225@20.726376",0.968536191145766,0.6692,0.9447,0.787,0.7002,0.8379,0.8316,0.977055115695763
"477.2291@20.643301",0.411786539910634,0.6426,0.1127,0.682,0.2442,0.934,0.1926,0.541450132418073
"501.2855@24.593113",0.945161756405624,0.6812,0.9105,0.899,0.7683,0.5585,0.8026,0.963250976623913
"579.4644@24.301723",0.128079246927995,0.0404,0.7994,0.2849,0.0616,0.2188,0.4116,0.277567088909362
"571.3617@22.799734",0.00215913757217645,0.0327,0.0022,0.001,0.121,0.0298,0.6462,0.0141818243176876
"264.1151@8.508162",0.362369579278719,0.2902,0.0982,0.1711,0.5029,0.7947,0.6453,0.502598179260066
"453.2868@22.186028",0.000233167881274143,0.1418,8e-04,2e-04,0.0119,0.0015,0.5446,0.00269498690681975
"688.2942@10.879599",0.0416141655558143,0.0711,0.0164,0.0315,0.0557,0.2271,0.3281,0.129804855321588
"275.1372@2.2085192",0.619870861284667,0.2798,0.8669,0.3486,0.3757,0.8293,0.4635,0.709307332444696
"739.5144@24.779331",0.00133027600800206,0.0442,9e-04,0.002,0.019,0.038,0.5583,0.0101731067694787
"518.3225@18.146011",0.335040683777443,0.3469,0.5927,0.497,0.0975,0.7059,0.1564,0.480880832444499
"635.6216@27.917994",0.832757468378971,0.3785,0.7562,0.6944,0.5566,0.5552,0.9532,0.879973218769213
"294.1655@5.2828364",0.244395402427882,0.1707,0.4037,0.7211,0.3679,0.0691,0.4012,0.409891501709755
"781.5605@22.951208",0.154888996187995,0.0742,0.0927,0.0378,0.9001,0.7144,0.6306,0.315019211507745
"304.1502@5.9481373",0.0874441346596208,0.5385,0.2731,0.2505,0.0579,0.0218,0.8194,0.218084247046918
"819.5819@24.879112",0.313999343964529,0.1573,0.1205,0.1276,0.783,0.906,0.8667,0.468630098308808
"641.5967@27.53339",0.00217757307353683,6e-04,0.0493,0.0292,0.0139,0.0126,0.8109,0.014210209792296
"567.3323@22.072042",0.831795666139933,0.8776,0.538,0.4683,0.5996,0.5089,0.9396,0.879973218769213
"521.35@22.401768",0.0016173151416311,0.1404,0.0041,6e-04,0.0713,0.0083,0.4404,0.0115378797902965
"565.314@22.197418",0.927314149632164,0.8231,0.7637,0.9345,0.5137,0.676,0.7661,0.948953601305118
"527.3022@22.294287",0.000314133452596566,0.6096,0.0086,9e-04,0.0091,3e-04,0.2638,0.00346942946534429
"773.5375@24.63252",0.840343698497176,0.4758,0.3951,0.4137,0.8218,0.8811,0.9225,0.884228972801192
"318.2569@23.152264",0.491002186191044,0.1881,0.5599,0.1925,0.4848,0.9244,0.5173,0.603034810223102
"312.1365@20.767698",0.84912031461381,0.4724,0.6863,0.4235,0.7724,0.9686,0.7317,0.890948901540599
"199.1932@20.386723",0.507177564147836,0.5384,0.1855,0.2419,0.401,0.5168,0.7828,0.616301343230989
"808.5833@24.85121",0.660156794908382,0.4956,0.8214,0.7884,0.3173,0.2559,0.9763,0.742863231100678
"384.2669@22.040667",0.00952300245559412,0.2588,0.1924,0.0035,0.7817,0.0197,0.0588,0.0450755449564788
"902.5583@22.300583",0.275687894696952,0.2165,0.0585,0.2092,0.4519,0.9557,0.3978,0.438687994656516
"249.1704@16.158625",0.838470574986994,0.776,0.8812,0.8366,0.4951,0.3961,0.9315,0.883120625460149
"363.1468@4.2183867",0.000398717918993596,0.0011,2e-04,3e-04,0.1366,0.2779,0.5609,0.00404413889264933
"371.2522@6.9858",0.252989006472596,0.5027,0.2282,0.2393,0.1321,0.1216,0.8946,0.417854182818533
"763.5174@24.258118",0.112615665599312,0.646,0.9755,0.0897,0.6289,0.0293,0.0996,0.257530609522354
"893.6881@29.708052",0.0749915567251601,0.4997,0.0696,0.0477,0.108,0.0535,0.7812,0.197200019536532
"717.5345@24.771814",0.188420258114252,0.1091,0.038,0.1044,0.4389,0.9691,0.3911,0.358334955163712
"571.3638@22.59902",0.162066477336596,0.2787,0.0611,0.0689,0.2151,0.2327,0.8524,0.325894883916873
"809.596@25.378834",0.557338774290465,0.3577,0.4903,0.9423,0.7995,0.216,0.3561,0.657984323527574
"362.1051@20.846947",0.379108818675609,0.877,0.748,0.227,0.8629,0.1725,0.1393,0.513398045999394
"517.2492@22.33881",0.219947665114067,0.0633,0.1189,0.2152,0.5882,0.2084,0.5194,0.392104252680186
"871.5625@26.14782",0.388144149157649,0.3513,0.884,0.5381,0.4156,0.0907,0.423,0.521181914080229
"446.3036@20.217218",0.0272188852060005,0.0794,0.023,0.0156,0.1377,0.038,0.6357,0.0945999017299457
"875.5447@24.211235",0.97201779080407,0.7742,0.8596,0.9753,0.6545,0.7448,0.8808,0.977920732853487
"218.0919@1.0450373",0.444236405357232,0.4821,0.2804,0.331,0.2284,0.3023,0.6652,0.563228299649348
"793.5621@24.466778",0.410839484183734,0.7936,0.2943,0.1511,0.3992,0.2162,0.7646,0.541193749675057
"751.3947@10.388149",0.00788748748947798,0.0328,0.0067,0.0171,0.007,0.1868,0.0638,0.0386850126539858
"491.3614@22.571293",0.0944979440494069,0.2366,0.4654,0.0191,0.6733,0.2046,0.1048,0.228921232714681
"431.2739@8.711322",0.112375800783203,0.3438,0.1475,0.1497,0.0745,0.0542,0.9539,0.257376834051853
"853.5761@22.286884",1.51825310299447e-05,0.0111,0,0,0.0048,0.0172,0.3522,0.000443865760110737
"274.1094@14.60403",0.220753553928837,0.4424,0.0645,0.1779,0.1438,0.435,0.4015,0.39277273139367
"617.6121@27.917353",0.734200932544776,0.2933,0.7263,0.6673,0.4619,0.4481,0.9568,0.803739787389326
"879.5774@24.325996",0.00499544087598525,0.0235,0.0718,0.0014,0.4915,0.0831,0.0272,0.0268888171339134
"580.5431@25.477419",0.000215961081702187,0.084,0.0115,0.0669,2e-04,3e-04,0.208,0.00259675784530614
"745.5635@24.858631",0.0380797301999467,0.6957,0.0557,0.0778,0.021,0.0263,0.7319,0.121059440784905
"229.1681@4.9693227",0.000270020612114008,0.0086,1e-04,7e-04,0.009,0.1408,0.1217,0.00302707317790967
"715.6114@26.708277",0.00238968758780467,0.2785,0.033,0.0042,0.0933,0.002,0.1382,0.0152919493279689
"978.5735@22.022022",0.00383254908716413,0.2557,0.0395,0.0031,0.1635,0.0037,0.1353,0.0221485685618671
"285.3033@21.30356",0.0653043140158538,0.024,0.6795,0.0685,0.0498,0.4917,0.1421,0.178004994876852
"579.3312@22.725592",2.2751239771801e-05,0.0159,0,0,0.001,0.0054,0.4587,0.000600560265656533
"140.9516@0.53639406",0.718321227980589,0.6915,0.7343,0.2775,0.9652,0.493,0.4831,0.791002179408462
"390.3277@22.491314",0.00274141146016171,0.0884,0.0312,0.3387,4e-04,0.0064,0.1378,0.0171022781887076
"322.2487@22.109451",0.85707479122431,0.8973,0.5512,0.8458,0.6239,0.7296,0.399,0.897400641654105
"618.4328@22.627022",0.470420802627414,0.2543,0.1265,0.2766,0.5748,0.9228,0.5075,0.585611942723352
"231.1293@14.870023",0.436039243435265,0.1482,0.4886,0.2074,0.3347,0.7302,0.4824,0.557098981972562
"288.241@15.842954",0.520294618612174,0.9546,0.2022,0.9054,0.2212,0.9534,0.2165,0.627129568593979
"387.2051@20.505705",0.323511237723265,0.1298,0.2966,0.0906,0.6643,0.9224,0.582,0.475820181507467
"606.5591@29.435837",0.360849642774007,0.3271,0.1373,0.1382,0.4419,0.4297,0.9488,0.501349423299713
"465.2864@22.08016",1.73392944781137e-05,0.1223,8e-04,0,0.0098,1e-04,0.2564,0.000497170924362836
"310.2487@22.580692",0.262120005138416,0.7036,0.4995,0.2669,0.2148,0.0654,0.6227,0.425382766363645
"521.3172@19.827965",0.408617046277248,0.9835,0.254,0.6786,0.245,0.6484,0.1021,0.539748879054338
"282.1261@7.4100695",0.28657556053378,0.2326,0.0816,0.1134,0.5284,0.7344,0.7316,0.449436673448085
"435.3353@23.121511",0.0897745788012329,0.2514,0.0149,0.1257,0.1053,0.6753,0.1801,0.220881018139667
"749.5312@22.267595",0.116682823656983,0.0967,0.0264,0.059,0.4898,0.8839,0.5547,0.262775777999101
"1064.5186@22.038918",0.077450281837788,0.2049,0.188,0.0109,0.8715,0.1594,0.2651,0.201885262622626
"177.1265@4.3671145",0.190232150658076,0.0458,0.1079,0.1683,0.5847,0.3136,0.692,0.359841237093281
"366.3272@22.75135",0.00262397862039243,0.5174,0.0089,0.0011,0.0338,0.0056,0.6526,0.0164687448293293
"493.1784@18.439152",0.405219988133308,0.8309,0.1568,0.5305,0.1541,0.6189,0.3025,0.538008016301658
"425.3513@21.583332",0.931737344772348,0.6197,0.5331,0.6347,0.81,0.9504,0.7523,0.952172982217664
"83.0376@1.1910417",0.150171569503824,0.3183,0.6227,0.9831,0.03,0.0994,0.4028,0.310118850595846
"266.1074@16.477219",0.281728501608029,0.9713,0.1237,0.5748,0.0815,0.4937,0.2302,0.446360476168464
"409.1213@8.920427",0.700641951458449,0.5956,0.552,0.8477,0.255,0.4317,0.6443,0.774968211887647
"484.3524@23.555647",7.5237719968535e-05,0.1931,0.0054,0,0.079,5e-04,0.0962,0.00123274110409984
"260.1194@5.237195",0.00124659688873618,0.1385,6e-04,0.0061,0.0025,0.0485,0.0977,0.00978250505845079
"399.3714@21.835148",0.0217169995422026,0.018,0.7473,0.5978,0.0435,0.0036,0.3999,0.0801486294985746
"439.3071@22.565159",0.351545271091034,0.0906,0.2408,0.1854,0.5713,0.5641,0.9445,0.493089368952711
"547.5334@24.994856",0.359048978177817,0.1888,0.8327,0.2649,0.167,0.7208,0.2526,0.499852499031863
"287.2822@16.922827",0.588271434545446,0.3739,0.2817,0.2057,0.8197,0.7375,0.9361,0.683073392331414
"309.3034@22.959799",0.0490090416449475,0.2435,0.0301,0.0319,0.0978,0.0898,0.9213,0.14498508153297
"251.2097@11.281511",0.332805008640455,0.2091,0.1016,0.5298,0.6318,0.4226,0.2096,0.479895810331642
"220.1773@0.6713449",0.0023029531506914,0.1603,0.0045,0.0021,0.0353,0.0088,0.7053,0.0148004446020728
"535.365@22.96902",0.00104298999129371,0.0298,8e-04,0.0013,0.0246,0.02,0.7886,0.00831603249742737
"805.6809@26.50332",0.0130887740915563,0.1755,0.074,0.4116,0.0019,0.0182,0.2254,0.056629770310316
"580.3593@21.871277",0.802627804299661,0.9279,0.5041,0.8824,0.3507,0.7504,0.4869,0.856634256414312
"642.5205@26.678177",0.472087419929489,0.1808,0.5473,0.2225,0.3349,0.8059,0.4265,0.585611942723352
"431.2261@16.479588",0.297511057847975,0.4088,0.0623,0.4614,0.2634,0.8875,0.1908,0.457025651346735
"573.3102@21.700613",0.41638830820736,0.5304,0.1418,0.1814,0.3736,0.4905,0.7764,0.541450132418073
"435.1858@1.457959",0.0230200830018235,0.0087,0.0294,0.005,0.4844,0.8068,0.3246,0.083106401345566
"253.1169@0.9102668",0.0200685494965462,0.4053,0.1664,0.5687,0.003,0.0344,0.1842,0.0771190909777073
"479.3364@22.598925",0.0675013250675182,0.3839,0.1572,0.457,0.013,0.0539,0.3577,0.182657850591052
"219.0927@2.8996801",0.0670885377789789,0.3555,0.2254,0.139,0.0408,0.0228,0.7498,0.182082357469436
"633.4745@24.221972",0.0147103834979672,0.2896,0.0366,0.2204,0.0032,0.0239,0.2809,0.0619581406651668
"719.5843@25.638227",0.284087169430035,0.0902,0.0901,0.1815,0.9717,0.5833,0.5752,0.447752610592159
"386.1728@17.487812",0.282609269404992,0.3541,0.0578,0.4381,0.2898,0.8327,0.1905,0.446366971062333
"348.176@6.982529",0.117024223065998,0.4261,0.1963,0.1927,0.0725,0.0445,0.9828,0.262775777999101
"650.5236@27.367336",2.81252519740427e-06,0.5782,1e-04,0,1e-04,0,0.9675,0.000170257277700991
"422.2456@23.208101",0.0150794044346706,0.4163,0.0674,0.0051,0.2252,0.0138,0.2261,0.0633334986256165
"690.5216@26.56106",0.400573982042951,0.8471,0.3253,0.1836,0.362,0.1854,0.7973,0.534218074441897
"430.3093@21.90152",0.306368001154913,0.5036,0.2299,0.2151,0.2179,0.1514,0.9476,0.463706474399664
"570.3909@23.439054",0.0179929460067594,0.1641,0.2055,0.3427,0.005,0.0073,0.6339,0.0710128322970398
"398.3007@22.594955",0.558249610504615,0.5267,0.173,0.324,0.4394,0.7478,0.6086,0.657984323527574
"477.2863@22.003452",0.0730278577555138,0.6115,0.1506,0.0914,0.0984,0.0265,0.6137,0.194018821299405
"678.5576@28.096626",6.86217785825782e-05,0.0027,0,0,0.0705,0.0284,0.7229,0.00114960754906319
"325.2981@22.596067",3.17602856536592e-05,0.0027,0,1e-04,0.0082,0.0219,0.5024,0.000717493725903119
"357.1942@20.767473",0.941085863249739,0.5699,0.648,0.6465,0.9282,0.8847,0.9653,0.959753093095322
"543.331@22.527931",0.468359946104325,0.8622,0.2486,0.6963,0.1408,0.5061,0.3404,0.584650588657221
"368.225@22.622494",0.337949923751445,0.4781,0.2896,0.1513,0.5427,0.173,0.4972,0.481976132145194
"58.0427@14.60339",0.414325535379013,0.4225,0.1632,0.1571,0.4354,0.4277,0.9048,0.541450132418073
"777.5658@26.188366",0.0001223308259789,0.2004,1e-04,1e-04,0.0026,0.0022,0.9477,0.00175380059167827
"795.6189@25.974556",0.00636329914072931,0.0689,0.0044,0.0015,0.1704,0.1171,0.9805,0.0325254346386183
"345.0396@0.7258572",0.74602179265436,0.856,0.8602,0.6891,0.5276,0.2904,0.688,0.811911308647921
"479.302@22.447227",0.233604401688201,0.6767,0.1822,0.6389,0.0501,0.2807,0.2642,0.402029962458529
"290.2571@14.502399",0.695309170120529,0.7782,0.4344,0.9608,0.501,0.635,0.2626,0.770212461106767
"412.1353@5.636208",0.311164091450086,0.2056,0.0992,0.0926,0.5837,0.5752,0.9621,0.466746137175129
"408.1544@17.48786",0.331989352242565,0.3525,0.0727,0.4545,0.3446,0.8084,0.2224,0.479647407164403
"447.3357@21.17856",0.124250157920279,0.3534,0.0585,0.0567,0.1784,0.1579,0.9357,0.272436743322259
"575.3264@22.566654",0.0228098048193072,0.1175,0.3569,0.0063,0.459,0.1093,0.0266,0.0829474825654517
"308.1968@21.744257",0.110374578857293,0.6292,0.0491,0.0636,0.1133,0.1476,0.7615,0.254749995474031
"794.3271@17.487343",0.277400473375102,0.8055,0.1263,0.7298,0.0707,0.5332,0.1913,0.440942543499229
"192.0613@1.5606674",0.00892084365745782,0.0481,0.0015,0.0186,0.0478,0.5848,0.1033,0.042359802207865
"743.5465@24.427166",0.292339477020479,0.823,0.3994,0.2112,0.3596,0.0955,0.5612,0.453095800662717
"325.2086@5.3219",0.747697255397928,0.326,0.3084,0.2984,0.9244,0.8926,0.9781,0.813141216483086
"531.3339@22.63227",3.25132226380864e-05,0.1562,0,2e-04,9e-04,0.0035,0.394,0.000723540521692341
"602.5282@24.903023",0.191882821242137,0.3708,0.1916,0.0364,0.6447,0.2248,0.492,0.36123394756569
"541.3977@18.881489",0.183724462392438,0.2852,0.0489,0.0914,0.2879,0.4821,0.6421,0.352552346753056
"1468.11@24.356125",0.0584089774690582,0.5321,0.0498,0.5307,0.0096,0.1755,0.1254,0.162477211579041
"338.2826@22.699055",0.0152226805257334,0.6651,0.6685,0.0309,0.9698,0.0079,0.0313,0.0636475969616547
"264.2458@22.94547",0.0122888063547811,0.0685,0.0013,0.0442,0.0791,0.8776,0.0949,0.0542089061389901
"489.2764@22.74534",0.0349181679347352,0.2625,0.0078,0.0532,0.0311,0.2697,0.1898,0.113622032527709
"773.6304@26.912476",1.25542232720655e-07,0.0029,0,0,1e-04,6e-04,0.2934,2.46017207683608e-05
"507.3005@22.457111",0.0637582181377947,0.4494,0.2609,0.0831,0.0737,0.0147,0.6332,0.174108980299362
"651.4034@11.660288",0.0499481168535308,0.519,0.1444,0.1008,0.064,0.0146,0.6456,0.147199215267106
"547.364@22.693516",0.258005948107526,0.6407,0.2774,0.0656,0.5031,0.1663,0.5698,0.423162742508318
"866.3596@18.438633",0.651427161967887,0.6848,0.2417,0.4923,0.3768,0.7514,0.5441,0.735259574938773
"178.0996@15.558724",0.416528036139188,0.3678,0.2581,0.8183,0.7847,0.2395,0.1612,0.541450132418073
"415.2785@7.902196",0.182805151555615,0.5647,0.3195,0.3553,0.0579,0.078,0.6807,0.351240310527606
