,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
hsa-miR-224-3p,0.511062909,0.031047036,0.743847155,0.041738462,0.966707192,NA
hsa-miR-224-5p,8.905408017,-0.935815281,0.562322414,-1.664197012,0.096073065,0.296887441
hsa-miR-2276-3p,7.627125539,1.207805763,0.425837977,2.836303541,0.004563905,0.030092484
hsa-miR-2276-5p,1.92917243,1.052197319,0.658747967,1.597268412,0.110205889,0.321595067
hsa-miR-2277-3p,9.139486668,0.411478568,0.379852138,1.083259845,0.278693103,0.567043888
hsa-miR-2277-5p,33.09246184,-0.741483583,0.297463274,-2.492689513,0.012677965,0.066518857
hsa-miR-2278,1.785348972,0.013821237,0.671296265,0.020588879,0.983573612,0.988383263
hsa-miR-2355-3p,9.821220074,0.351034508,0.379592895,0.92476575,0.35508777,0.644805921
hsa-miR-2355-5p,65.48481562,0.10418341,0.200324088,0.520074298,0.603011792,0.805844013
hsa-miR-2392,5.667286471,-0.546565519,0.585132875,-0.934087866,0.350258571,0.64383454
hsa-miR-23a-3p,2206.188301,-1.263074068,0.239969021,-5.26348803,1.41E-07,6.45E-06
hsa-miR-23a-5p,0.778657135,-0.310822229,0.75054714,-0.414127525,0.678780716,NA
hsa-miR-23b-3p,15076.14103,0.472640127,0.151323779,3.123369836,0.001787929,0.014315044
hsa-miR-23b-5p,3.890074185,1.512555392,0.545054255,2.775054739,0.005519242,0.035406268
hsa-miR-23c,5.968071254,-0.189926854,0.494849787,-0.383807085,0.701121436,0.853388678
hsa-miR-24-1-5p,58.94721439,0.885492731,0.205017536,4.319107281,1.57E-05,0.000333041
hsa-miR-24-2-5p,65.04001251,-0.947513005,0.303834028,-3.118521687,0.001817608,0.014458776
hsa-miR-24-3p,4632.416637,0.125283223,0.145625841,0.860309004,0.389618731,0.678530925
hsa-miR-2467-3p,0.282772373,0.023759942,0.672577053,0.035326721,0.971819216,NA
hsa-miR-2467-5p,88.42597632,0.200535911,0.196580375,1.020121726,0.307670734,0.597156834
hsa-miR-25-3p,3893.036686,0.05422231,0.125049849,0.433605558,0.664574898,0.837853629
hsa-miR-25-5p,6.779705453,0.229205795,0.451418843,0.507745299,0.611631976,0.811443697
hsa-miR-2681-3p,3.311292491,0.045222569,0.600777566,0.075273399,0.939997186,0.968117786
hsa-miR-2681-5p,3.011069951,0.5127475,0.568454594,0.902002562,0.367055507,0.65496301
hsa-miR-2682-3p,6.069955815,-0.181599555,0.474902767,-0.38239313,0.702169786,0.85382184
hsa-miR-2682-5p,16.32266399,-0.364757922,0.421321411,-0.865747414,0.386628693,0.674276065
hsa-miR-26a-1-3p,5.755302605,-0.30522083,0.46207649,-0.660541786,0.508906212,0.763579067
hsa-miR-26a-2-3p,39.38001731,-0.2037247,0.229621507,-0.887219595,0.374960685,0.661395659
hsa-miR-26a-5p,478902.7237,0.129329828,0.152522979,0.847936675,0.396473238,0.682753495
hsa-miR-26b-3p,97.9912584,0.251804708,0.154840519,1.626219741,0.103902918,0.312469019
hsa-miR-26b-5p,20599.08656,-0.22786204,0.131654528,-1.730757329,0.083495055,0.271390457
hsa-miR-27a-3p,3657.325231,-1.443942832,0.286643488,-5.037417192,4.72E-07,1.82E-05
hsa-miR-27a-5p,4.660382968,-1.764652214,0.534215532,-3.303258906,0.000955681,0.008793692
hsa-miR-27b-3p,181207.6208,0.552796579,0.125889693,4.39111865,1.13E-05,0.000262347
hsa-miR-27b-5p,198.725285,0.798791009,0.218906416,3.649006844,0.000263256,0.003245948
hsa-miR-28-3p,5113.969278,-0.096742257,0.240677502,-0.40195804,0.687714907,0.847952481
hsa-miR-28-5p,671.3705109,-0.693159632,0.208298662,-3.327720037,0.000875598,0.008434472
hsa-miR-2861,4.39433504,2.448112023,0.607732557,4.028271965,5.62E-05,0.000899743
hsa-miR-2909,0.19175343,-0.090456073,0.584616436,-0.154727215,0.877036374,NA
hsa-miR-296-3p,10.25921568,-0.008755945,0.37731888,-0.023205689,0.981486201,0.98780815
hsa-miR-296-5p,20.18963395,0.373541776,0.250967105,1.488409312,0.136642982,0.370287467
hsa-miR-297,0.414749792,0.36700324,0.685402531,0.535456499,0.59233423,NA
hsa-miR-298,0.288037221,-0.144896029,0.687723005,-0.210689519,0.833129554,NA
hsa-miR-299-3p,38.44022968,-0.35202426,0.383674981,-0.917506424,0.358877328,0.649078509
hsa-miR-299-5p,9.887789698,-0.002722872,0.502156644,-0.005422355,0.995673608,0.996481785
hsa-miR-29a-3p,11806.00924,-0.359937083,0.112841726,-3.189751657,0.001423951,0.012451997
hsa-miR-29a-5p,57.06123066,0.054981607,0.200009153,0.274895453,0.783396561,0.89260268
hsa-miR-29b-1-5p,4.085207355,-0.5346726,0.569922117,-0.938150292,0.348167179,0.642649898
hsa-miR-29b-2-5p,29.18367667,0.244826199,0.250173639,0.978625088,0.327765259,0.617842073
hsa-miR-29b-3p,1992.51174,-0.618606726,0.186765352,-3.312213526,0.000925609,0.008660133
hsa-miR-29c-3p,3485.258024,-0.19169582,0.122790531,-1.561161261,0.118485707,0.338177955
hsa-miR-29c-5p,282.5043495,0.742625488,0.19769875,3.756348928,0.00017241,0.002310672
hsa-miR-300,0.094469028,0,0.520432705,0,1,NA
hsa-miR-301a-3p,3507.894845,-0.021879153,0.156742555,-0.139586555,0.888986664,0.948201174
hsa-miR-301a-5p,33.51694581,-0.066438253,0.263051559,-0.252567418,0.800602511,0.904805587
hsa-miR-301b-3p,251.031174,-0.136292824,0.168279651,-0.809918631,0.417986943,0.700460905
hsa-miR-301b-5p,1.073453783,0.993164533,0.74345889,1.335870142,0.181591722,0.446021101
hsa-miR-302a-3p,0.952425587,-0.392102123,0.742490177,-0.528090654,0.597436417,NA
hsa-miR-302a-5p,5.695549899,0.210939371,0.517599546,0.407533917,0.683615888,0.844872472
hsa-miR-302b-3p,0.959237303,-0.113386109,0.721029646,-0.157255821,0.875043236,NA
hsa-miR-302b-5p,0.424793836,-0.329756785,0.693224743,-0.47568525,0.634298631,NA
hsa-miR-302c-3p,0.249839409,-0.214339554,0.603835735,-0.354963348,0.722617049,NA
hsa-miR-302d-3p,1.339456102,-1.097592569,0.744133392,-1.474994378,0.140214055,0.37583463
hsa-miR-302f,0.762502843,0.806235236,0.74958471,1.075575883,0.282116978,NA
hsa-miR-3064-3p,2.306936758,0.190117909,0.631320723,0.301143147,0.76330534,0.883903104
hsa-miR-3064-5p,2.05523542,0.849825113,0.654830206,1.29777934,0.194363171,0.46086498
hsa-miR-3065-3p,103.191115,-1.159520496,0.39069199,-2.967863496,0.002998775,0.02137277
hsa-miR-3065-5p,95.53841252,-1.273484561,0.396791271,-3.209457095,0.001329859,0.011882
hsa-miR-3074-3p,1.659924355,-0.634883578,0.685068917,-0.926744101,0.354059414,0.644805921
hsa-miR-3074-5p,3.824985813,0.250321071,0.537068947,0.466087403,0.64115294,0.825199973
hsa-miR-30a-3p,2043.767993,-0.146024813,0.237686052,-0.614360039,0.538977436,0.771845736
hsa-miR-30a-5p,61024.64984,-0.616627551,0.179214197,-3.440729376,0.000580148,0.00606206
hsa-miR-30b-3p,3.347782369,-0.283462658,0.545384868,-0.519747933,0.603239273,0.805844013
hsa-miR-30b-5p,3237.829193,-0.470630663,0.100394545,-4.687811121,2.76E-06,8.30E-05
hsa-miR-30c-1-3p,42.22021846,-0.045137062,0.223858472,-0.201632138,0.840204318,0.925109519
hsa-miR-30c-2-3p,181.3414896,-0.231370637,0.267175414,-0.865987754,0.386496877,0.674276065
hsa-miR-30c-5p,7533.640662,-0.571500748,0.140509472,-4.067346774,4.76E-05,0.00077146
hsa-miR-30d-3p,86.99117505,-0.006367957,0.187917132,-0.03388705,0.97296722,0.984141577
hsa-miR-30d-5p,18036.78454,-0.112016478,0.136372859,-0.821398618,0.411419251,0.696110655
hsa-miR-30e-3p,2026.526473,0.071334543,0.132007323,0.540383225,0.588932774,0.801730382
hsa-miR-30e-5p,27668.25666,-0.0815814,0.145550457,-0.560502532,0.575136713,0.794996454
hsa-miR-31-3p,5.496971403,-0.117579521,0.579545231,-0.202882389,0.83922696,0.925109519
hsa-miR-31-5p,194.5668993,-0.704578454,0.297125985,-2.371312136,0.017725055,0.085371066
hsa-miR-3115,0.491410772,0.46910339,0.745848517,0.628952634,0.529380066,NA
hsa-miR-3116,2.010522471,0.057391905,0.680540567,0.084332819,0.932791819,0.96367735
hsa-miR-3117-3p,61.08065946,0.757988491,0.22755797,3.330968774,0.000865443,0.008434472
hsa-miR-3118,0.537430217,0.904635069,0.733670065,1.233027094,0.217565656,NA
hsa-miR-3119,0.261960829,0.345496221,0.675673726,0.511335882,0.609115883,NA
hsa-miR-3120-3p,7.391498057,0.147831193,0.457965251,0.322800021,0.746846697,0.880371307
hsa-miR-3120-5p,1.163742344,1.113096757,0.737093724,1.510115634,0.131013921,0.359777649
hsa-miR-3121-3p,0.329337335,0,0.691915533,0,1,NA
hsa-miR-3123,0.160386545,0.117566101,0.575507294,0.204282555,0.838132701,NA
hsa-miR-3124-3p,0.491455784,0.051181867,0.751930964,0.068067242,0.945732107,NA
hsa-miR-3124-5p,6.911749676,0.210436725,0.403217881,0.521893336,0.601744598,0.805844013
hsa-miR-3125,2.292704069,-0.109129031,0.642591379,-0.169826479,0.865146602,0.939846485
hsa-miR-3126-3p,0.241536549,-0.2988107,0.676748328,-0.441538882,0.658822919,NA
hsa-miR-3126-5p,0.61201674,-0.211977898,0.745824261,-0.284219633,0.77624207,NA
hsa-miR-3127-3p,0.827729557,0.746217137,0.751397085,0.993106244,0.320658181,NA
hsa-miR-3127-5p,5.614099781,0.327447506,0.461710863,0.709204682,0.478197468,0.737944279
hsa-miR-3128,0.90623347,0.230250695,0.747329971,0.308097767,0.758007941,NA
hsa-miR-3129-3p,1.251485534,-0.29332934,0.699078246,-0.419594433,0.674781756,0.84211124
hsa-miR-3129-5p,0.242375777,0.351731442,0.679365251,0.517735404,0.604642893,NA
hsa-miR-3130-3p,0.759878273,-0.192267805,0.753494378,-0.255168201,0.79859319,NA
hsa-miR-3130-5p,1.205523798,1.633036467,0.716965524,2.277705708,0.022744117,0.103864803
hsa-miR-3131,0.394792314,-0.197752434,0.752334008,-0.262851913,0.792664721,NA
hsa-miR-3132,0.211528596,0.235329037,0.590954052,0.398218841,0.690468879,NA
hsa-miR-3133,1.252773872,0.250636386,0.71137704,0.35232566,0.724594046,0.868387202
hsa-miR-3134,0.724839549,0.806555389,0.753165499,1.070887328,0.284220094,NA
hsa-miR-3135a,2.24150169,0.525790282,0.672626725,0.781696983,0.434392675,0.709919504
hsa-miR-3135b,1445.061618,-0.44911383,0.299782706,-1.498131215,0.134099163,0.365805901
hsa-miR-3136-3p,0.556959092,0.076574826,0.749130735,0.102218241,0.918583449,NA
hsa-miR-3136-5p,1.085390702,-0.19129639,0.7369721,-0.259570736,0.795194912,0.899518648
hsa-miR-3137,0.259906317,0.018473545,0.617493736,0.029916975,0.976133268,NA
hsa-miR-3138,0.296590698,-0.175510891,0.72259352,-0.242890209,0.80809045,NA
hsa-miR-3139,8.149794678,1.145750329,0.47746304,2.399662873,0.016410178,0.080882761
hsa-miR-3140-3p,0.390472724,0.377149862,0.693355128,0.543949048,0.586476535,NA
